Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2018-02-14 00:00:00+00:00,42.447498,2018-02-21 00:00:00+00:00,42.752499,0.1346010059999972
short,2018-03-19 00:00:00+00:00,43.810001,2018-03-21 00:00:00+00:00,42.814999,0.8217519999999996
buy,2018-04-10 00:00:00+00:00,43.057499,2018-04-16 00:00:00+00:00,44.047501,0.815791999999997
short,2018-04-20 00:00:00+00:00,41.7075,2018-04-24 00:00:00+00:00,40.305,1.2384750000000035
buy,2018-05-02 00:00:00+00:00,43.970001,2018-05-04 00:00:00+00:00,46.0625,1.9124339979999965
short,2018-05-25 00:00:00+00:00,46.900002,2018-06-01 00:00:00+00:00,47.564999,-0.8539270019999998
short,2018-06-06 00:00:00+00:00,48.535,2018-06-18 00:00:00+00:00,46.799999,1.5443310019999972
short,2018-07-31 00:00:00+00:00,49.782501,2018-08-01 00:00:00+00:00,50.439999,-0.857942999999997
short,2018-08-02 00:00:00+00:00,51.7575,2018-08-06 00:00:00+00:00,52.3125,-0.7631399999999999
short,2018-09-07 00:00:00+00:00,55.237499,2018-09-11 00:00:00+00:00,56.075001,-1.0601270000000005
short,2018-10-02 00:00:00+00:00,57.512501,2018-10-03 00:00:00+00:00,58.3675,-1.0867590019999995
short,2018-10-08 00:00:00+00:00,55.91,2018-10-09 00:00:00+00:00,56.817501,-1.1329560020000033
buy,2018-11-05 00:00:00+00:00,50.48,2018-11-07 00:00:00+00:00,52.514999,1.8290090020000065
buy,2018-12-03 00:00:00+00:00,45.237499,2018-12-04 00:00:00+00:00,44.067501,-1.3486079999999996
buy,2018-12-20 00:00:00+00:00,39.215,2018-12-21 00:00:00+00:00,37.407501,-1.960744002
buy,2018-12-28 00:00:00+00:00,39.6325,2018-12-31 00:00:00+00:00,39.119999,-0.6700059980000004
short,2019-02-28 00:00:00+00:00,43.57,2019-03-04 00:00:00+00:00,44.4375,-1.0435149999999997
short,2019-03-12 00:00:00+00:00,45.5625,2019-03-14 00:00:00+00:00,46.025002,-0.6456770040000004
short,2019-03-28 00:00:00+00:00,47.4575,2019-04-02 00:00:00+00:00,48.615002,-1.3496470039999933
short,2019-04-03 00:00:00+00:00,48.697498,2019-04-05 00:00:00+00:00,49.275002,-0.7734489999999976
short,2019-04-16 00:00:00+00:00,49.884998,2019-04-17 00:00:00+00:00,50.845001,-1.1614629980000002
short,2019-04-18 00:00:00+00:00,50.7075,2019-04-22 00:00:00+00:00,51.235001,-0.7313860019999936
