Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2018-02-07 00:00:00+00:00,2018-02-14 00:00:00+00:00,0,0,0,0.0
2,2018-02-14 00:00:00+00:00,2018-02-21 00:00:00+00:00,1,1,0,0.1346010059999972
3,2018-02-21 00:00:00+00:00,2018-02-28 00:00:00+00:00,1,0,0,0.0
4,2018-02-28 00:00:00+00:00,2018-03-07 00:00:00+00:00,0,0,0,0.0
5,2018-03-07 00:00:00+00:00,2018-03-14 00:00:00+00:00,0,0,0,0.0
6,2018-03-14 00:00:00+00:00,2018-03-21 00:00:00+00:00,1,1,0,0.8217519999999996
7,2018-03-21 00:00:00+00:00,2018-03-28 00:00:00+00:00,1,0,0,0.0
8,2018-03-28 00:00:00+00:00,2018-04-04 00:00:00+00:00,0,0,0,0.0
9,2018-04-04 00:00:00+00:00,2018-04-11 00:00:00+00:00,0,0,0,0.0
10,2018-04-11 00:00:00+00:00,2018-04-18 00:00:00+00:00,1,1,0,0.815791999999997
11,2018-04-18 00:00:00+00:00,2018-04-25 00:00:00+00:00,1,1,0,1.2384750000000035
12,2018-04-25 00:00:00+00:00,2018-05-02 00:00:00+00:00,0,0,0,0.0
13,2018-05-02 00:00:00+00:00,2018-05-09 00:00:00+00:00,1,1,0,1.9124339979999965
14,2018-05-09 00:00:00+00:00,2018-05-16 00:00:00+00:00,0,0,0,0.0
15,2018-05-16 00:00:00+00:00,2018-05-23 00:00:00+00:00,0,0,0,0.0
16,2018-05-23 00:00:00+00:00,2018-05-30 00:00:00+00:00,0,0,0,0.0
17,2018-05-30 00:00:00+00:00,2018-06-06 00:00:00+00:00,1,0,1,-0.8539270019999998
18,2018-06-06 00:00:00+00:00,2018-06-13 00:00:00+00:00,0,0,0,0.0
19,2018-06-13 00:00:00+00:00,2018-06-20 00:00:00+00:00,1,1,0,1.5443310019999972
20,2018-06-20 00:00:00+00:00,2018-06-27 00:00:00+00:00,0,0,0,0.0
21,2018-06-27 00:00:00+00:00,2018-07-04 00:00:00+00:00,0,0,0,0.0
22,2018-07-04 00:00:00+00:00,2018-07-11 00:00:00+00:00,0,0,0,0.0
23,2018-07-11 00:00:00+00:00,2018-07-18 00:00:00+00:00,0,0,0,0.0
24,2018-07-18 00:00:00+00:00,2018-07-25 00:00:00+00:00,0,0,0,0.0
25,2018-07-25 00:00:00+00:00,2018-08-01 00:00:00+00:00,1,0,1,-0.857942999999997
26,2018-08-01 00:00:00+00:00,2018-08-08 00:00:00+00:00,2,0,1,-0.7631399999999999
27,2018-08-08 00:00:00+00:00,2018-08-15 00:00:00+00:00,0,0,0,0.0
28,2018-08-15 00:00:00+00:00,2018-08-22 00:00:00+00:00,0,0,0,0.0
29,2018-08-22 00:00:00+00:00,2018-08-29 00:00:00+00:00,0,0,0,0.0
30,2018-08-29 00:00:00+00:00,2018-09-05 00:00:00+00:00,0,0,0,0.0
31,2018-09-05 00:00:00+00:00,2018-09-12 00:00:00+00:00,1,0,1,-1.0601270000000005
32,2018-09-12 00:00:00+00:00,2018-09-19 00:00:00+00:00,0,0,0,0.0
33,2018-09-19 00:00:00+00:00,2018-09-26 00:00:00+00:00,0,0,0,0.0
34,2018-09-26 00:00:00+00:00,2018-10-03 00:00:00+00:00,1,0,1,-1.0867590019999995
35,2018-10-03 00:00:00+00:00,2018-10-10 00:00:00+00:00,2,0,1,-1.1329560020000033
36,2018-10-10 00:00:00+00:00,2018-10-17 00:00:00+00:00,0,0,0,0.0
37,2018-10-17 00:00:00+00:00,2018-10-24 00:00:00+00:00,0,0,0,0.0
38,2018-10-24 00:00:00+00:00,2018-10-31 00:00:00+00:00,0,0,0,0.0
39,2018-10-31 00:00:00+00:00,2018-11-07 00:00:00+00:00,1,1,0,1.8290090020000065
40,2018-11-07 00:00:00+00:00,2018-11-14 00:00:00+00:00,1,0,0,0.0
41,2018-11-14 00:00:00+00:00,2018-11-21 00:00:00+00:00,0,0,0,0.0
42,2018-11-21 00:00:00+00:00,2018-11-28 00:00:00+00:00,0,0,0,0.0
43,2018-11-28 00:00:00+00:00,2018-12-05 00:00:00+00:00,1,0,1,-1.3486079999999996
44,2018-12-05 00:00:00+00:00,2018-12-12 00:00:00+00:00,0,0,0,0.0
45,2018-12-12 00:00:00+00:00,2018-12-19 00:00:00+00:00,0,0,0,0.0
46,2018-12-19 00:00:00+00:00,2018-12-26 00:00:00+00:00,1,0,1,-1.960744002
47,2018-12-26 00:00:00+00:00,2019-01-02 00:00:00+00:00,1,0,1,-0.6700059980000004
48,2019-01-02 00:00:00+00:00,2019-01-09 00:00:00+00:00,0,0,0,0.0
49,2019-01-09 00:00:00+00:00,2019-01-16 00:00:00+00:00,0,0,0,0.0
50,2019-01-16 00:00:00+00:00,2019-01-23 00:00:00+00:00,0,0,0,0.0
51,2019-01-23 00:00:00+00:00,2019-01-30 00:00:00+00:00,0,0,0,0.0
52,2019-01-30 00:00:00+00:00,2019-02-06 00:00:00+00:00,0,0,0,0.0
53,2019-02-06 00:00:00+00:00,2019-02-13 00:00:00+00:00,0,0,0,0.0
54,2019-02-13 00:00:00+00:00,2019-02-20 00:00:00+00:00,0,0,0,0.0
55,2019-02-20 00:00:00+00:00,2019-02-27 00:00:00+00:00,0,0,0,0.0
56,2019-02-27 00:00:00+00:00,2019-03-06 00:00:00+00:00,1,0,1,-1.0435149999999997
57,2019-03-06 00:00:00+00:00,2019-03-13 00:00:00+00:00,0,0,0,0.0
58,2019-03-13 00:00:00+00:00,2019-03-20 00:00:00+00:00,1,0,1,-0.6456770040000004
59,2019-03-20 00:00:00+00:00,2019-03-27 00:00:00+00:00,0,0,0,0.0
60,2019-03-27 00:00:00+00:00,2019-04-03 00:00:00+00:00,1,0,1,-1.3496470039999933
61,2019-04-03 00:00:00+00:00,2019-04-10 00:00:00+00:00,1,0,1,-0.7734489999999976
62,2019-04-10 00:00:00+00:00,2019-04-17 00:00:00+00:00,1,0,1,-1.1614629980000002
63,2019-04-17 00:00:00+00:00,2019-04-24 00:00:00+00:00,2,0,1,-0.7313860019999936
64,2019-04-24 00:00:00+00:00,2019-05-01 00:00:00+00:00,1,1,0,1.120743003999996
65,2019-05-01 00:00:00+00:00,2019-05-08 00:00:00+00:00,2,0,2,-2.4076869880000045
66,2019-05-08 00:00:00+00:00,2019-05-15 00:00:00+00:00,1,0,0,0.0
67,2019-05-15 00:00:00+00:00,2019-05-22 00:00:00+00:00,0,0,0,0.0
68,2019-05-22 00:00:00+00:00,2019-05-29 00:00:00+00:00,0,0,0,0.0
69,2019-05-29 00:00:00+00:00,2019-06-05 00:00:00+00:00,0,0,0,0.0
70,2019-06-05 00:00:00+00:00,2019-06-12 00:00:00+00:00,1,1,0,2.0240600039999963
71,2019-06-12 00:00:00+00:00,2019-06-19 00:00:00+00:00,0,0,0,0.0
72,2019-06-19 00:00:00+00:00,2019-06-26 00:00:00+00:00,0,0,0,0.0
73,2019-06-26 00:00:00+00:00,2019-07-03 00:00:00+00:00,0,0,0,0.0
74,2019-07-03 00:00:00+00:00,2019-07-10 00:00:00+00:00,0,0,0,0.0
