Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2017-11-27 04:40:00+00:00,1.19158,2017-12-05 20:10:00+00:00,1.18008,-0.016243320000000068
buy,2017-12-05 20:45:00+00:00,1.18072,2018-01-25 21:45:00+00:00,1.23648,0.05092560000000003
buy,2018-01-25 22:10:00+00:00,1.2413,2018-02-07 17:55:00+00:00,1.22852,-0.017719640000000016
buy,2018-02-07 19:20:00+00:00,1.22785,2018-03-01 17:00:00+00:00,1.21591,-0.01682752000000006
buy,2018-03-01 17:25:00+00:00,1.2175,2018-04-27 10:20:00+00:00,1.20662,-0.01572824
buy,2018-04-27 10:55:00+00:00,1.20759,2018-05-02 17:35:00+00:00,1.19532,-0.017075820000000002
buy,2018-05-02 18:05:00+00:00,1.19685,2018-05-08 16:40:00+00:00,1.18381,-0.01780131999999994
buy,2018-05-08 17:25:00+00:00,1.18494,2018-05-21 09:35:00+00:00,1.17314,-0.01651616000000003
buy,2018-05-21 10:35:00+00:00,1.17289,2018-05-28 15:40:00+00:00,1.16119,-0.016368160000000034
buy,2018-05-28 16:25:00+00:00,1.16169,2018-06-14 16:00:00+00:00,1.16746,0.0011117000000000488
buy,2018-06-14 16:30:00+00:00,1.16787,2018-06-14 23:55:00+00:00,1.15627,-0.01624828000000006
buy,2018-06-15 00:25:00+00:00,1.1573,2018-08-10 08:10:00+00:00,1.14622,-0.015687039999999985
buy,2018-08-10 09:25:00+00:00,1.14594,2018-08-14 18:15:00+00:00,1.13538,-0.01512263999999991
buy,2018-08-14 19:40:00+00:00,1.1344,2018-11-12 20:45:00+00:00,1.12361,-0.015306020000000087
buy,2018-11-12 20:50:00+00:00,1.12385,2019-03-07 21:35:00+00:00,1.11856,-0.009774820000000017
buy,2019-03-07 22:35:00+00:00,1.11841,2019-07-31 21:35:00+00:00,1.10784,-0.015022499999999966
buy,2019-07-31 23:20:00+00:00,1.10661,2019-09-03 03:00:00+00:00,1.09573,-0.015284679999999995
buy,2019-09-03 03:05:00+00:00,1.09567,2020-02-13 16:05:00+00:00,1.08482,-0.015210980000000013
buy,2020-02-13 16:30:00+00:00,1.08568,2020-03-12 17:10:00+00:00,1.11316,0.023082319999999934
buy,2020-03-12 19:30:00+00:00,1.10986,2020-03-17 14:10:00+00:00,1.10008,-0.014199880000000109
buy,2020-03-17 14:30:00+00:00,1.10297,2020-03-18 16:30:00+00:00,1.09114,-0.016218220000000005
buy,2020-03-18 17:10:00+00:00,1.09087,2020-03-19 13:20:00+00:00,1.08004,-0.015171820000000114
buy,2020-03-19 14:05:00+00:00,1.08031,2020-03-19 19:00:00+00:00,1.06934,-0.015269300000000152
buy,2020-03-19 20:10:00+00:00,1.06823,2021-11-30 18:00:00+00:00,1.12354,0.05092645999999998
buy,2021-11-30 18:45:00+00:00,1.12871,2022-01-27 13:35:00+00:00,1.11628,-0.016919980000000168
buy,2022-01-27 14:40:00+00:00,1.11624,2022-03-03 18:05:00+00:00,1.10476,-0.015921999999999936
buy,2022-03-03 18:45:00+00:00,1.1052,2022-03-04 14:55:00+00:00,1.09346,-0.016137319999999872
buy,2022-03-04 16:10:00+00:00,1.09193,2022-03-07 12:30:00+00:00,1.08061,-0.015665079999999998
buy,2022-03-07 13:00:00+00:00,1.08292,2022-04-25 09:15:00+00:00,1.07288,-0.014351600000000075
buy,2022-04-25 10:15:00+00:00,1.0728,2022-04-27 09:10:00+00:00,1.0621,-0.014969799999999922
buy,2022-04-27 10:50:00+00:00,1.06187,2022-04-27 17:55:00+00:00,1.0515,-0.014596739999999997
buy,2022-04-27 18:10:00+00:00,1.05286,2022-05-12 10:15:00+00:00,1.04433,-0.012724379999999924
buy,2022-05-12 11:20:00+00:00,1.04557,2022-05-13 16:25:00+00:00,1.03495,-0.014781040000000079
buy,2022-05-13 16:50:00+00:00,1.03735,2022-07-05 11:35:00+00:00,1.03254,-0.008949779999999963
buy,2022-07-05 12:15:00+00:00,1.03138,2022-07-06 13:05:00+00:00,1.02127,-0.014215300000000042
buy,2022-07-06 13:30:00+00:00,1.02209,2022-07-08 10:25:00+00:00,1.01105,-0.015106279999999916
buy,2022-07-08 11:30:00+00:00,1.01082,2022-07-12 04:10:00+00:00,1.0012,-0.013644039999999968
buy,2022-07-12 04:55:00+00:00,1.0028,2022-08-22 18:45:00+00:00,0.99278,-0.014011159999999911
buy,2022-08-22 19:10:00+00:00,0.99377,2022-09-13 15:55:00+00:00,1.00303,0.00526640000000006
buy,2022-09-13 16:45:00+00:00,1.00389,2022-09-21 09:00:00+00:00,0.99241,-0.015472599999999948
buy,2022-09-21 10:25:00+00:00,0.99147,2022-09-21 21:00:00+00:00,0.98132,-0.014095579999999996
buy,2022-09-21 21:05:00+00:00,0.98374,2022-09-23 12:40:00+00:00,0.97364,-0.014014760000000015
buy,2022-09-23 14:05:00+00:00,0.97587,2022-09-26 03:45:00+00:00,0.96603,-0.013723799999999953
buy,2022-09-26 04:35:00+00:00,0.96485,2022-09-28 05:05:00+00:00,0.95499,-0.013699679999999992
buy,2022-09-28 05:35:00+00:00,0.95532,2022-11-10 15:45:00+00:00,1.016,0.05673736000000007
short,2022-11-10 16:50:00+00:00,1.0166,2022-11-11 10:40:00+00:00,1.02603,-0.013515260000000029
short,2022-11-11 11:20:00+00:00,1.02541,2022-11-11 20:25:00+00:00,1.03539,-0.014101600000000103
short,2022-11-11 20:30:00+00:00,1.03542,2022-11-15 15:30:00+00:00,1.04642,-0.015163679999999902
