Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,0,0,0,0.0
2,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,1,0,1,-0.016243320000000068
3,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,0,0,0,0.0
4,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,0,0,0,0.0
5,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,0,0,0,0.0
6,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,0,0,0,0.0
7,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,0,0,0,0.0
8,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,0,0,0,0.0
9,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,1,1,0,0.05092560000000003
10,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,0,0,0,0.0
11,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,1,0,1,-0.017719640000000016
12,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,0,0,0,0.0
13,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,0,0,0,0.0
14,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,1,0,1,-0.01682752000000006
15,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,0,0,0,0.0
16,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,0,0,0,0.0
17,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,0,0,0,0.0
18,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,0,0,0,0.0
19,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,0,0,0,0.0
20,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,0,0,0,0.0
21,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,0,0,0,0.0
22,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,1,0,1,-0.01572824
23,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,1,0,1,-0.017075820000000002
