Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-11-27 12:15:00+00:00,2017-12-04 12:00:00+00:00,1,0,1,-0.018334219999999925
2,2017-12-04 12:15:00+00:00,2017-12-11 12:00:00+00:00,0,0,0,0.0
3,2017-12-11 12:15:00+00:00,2017-12-18 12:00:00+00:00,0,0,0,0.0
4,2017-12-18 12:15:00+00:00,2017-12-25 12:00:00+00:00,0,0,0,0.0
5,2017-12-25 12:15:00+00:00,2018-01-01 12:00:00+00:00,0,0,0,0.0
6,2018-01-01 12:15:00+00:00,2018-01-08 12:00:00+00:00,1,0,1,-0.01723035999999994
7,2018-01-08 12:15:00+00:00,2018-01-15 12:00:00+00:00,1,0,1,-0.01888075999999999
8,2018-01-15 12:15:00+00:00,2018-01-22 12:00:00+00:00,1,0,1,-0.022831820000000155
9,2018-01-22 12:15:00+00:00,2018-01-29 12:00:00+00:00,2,0,2,-0.04083532000000012
10,2018-01-29 12:15:00+00:00,2018-02-05 12:00:00+00:00,0,0,0,0.0
11,2018-02-05 12:15:00+00:00,2018-02-12 12:00:00+00:00,1,1,0,0.015082659999999914
12,2018-02-12 12:15:00+00:00,2018-02-19 12:00:00+00:00,0,0,0,0.0
13,2018-02-19 12:15:00+00:00,2018-02-26 12:00:00+00:00,0,0,0,0.0
14,2018-02-26 12:15:00+00:00,2018-03-05 12:00:00+00:00,0,0,0,0.0
15,2018-03-05 12:15:00+00:00,2018-03-12 12:00:00+00:00,0,0,0,0.0
16,2018-03-12 12:15:00+00:00,2018-03-19 12:00:00+00:00,0,0,0,0.0
17,2018-03-19 12:15:00+00:00,2018-03-26 12:00:00+00:00,2,0,2,-0.03249632000000002
18,2018-03-26 12:15:00+00:00,2018-04-02 12:00:00+00:00,0,0,0,0.0
19,2018-04-02 12:15:00+00:00,2018-04-09 12:00:00+00:00,1,0,1,-0.019828440000000003
20,2018-04-09 12:15:00+00:00,2018-04-16 12:00:00+00:00,0,0,0,0.0
21,2018-04-16 12:15:00+00:00,2018-04-23 12:00:00+00:00,0,0,0,0.0
22,2018-04-23 12:15:00+00:00,2018-04-30 12:00:00+00:00,1,0,1,-0.025310139999999925
23,2018-04-30 12:15:00+00:00,2018-05-07 12:00:00+00:00,2,0,2,-0.03723972000000003
24,2018-05-07 12:15:00+00:00,2018-05-14 12:00:00+00:00,0,0,0,0.0
25,2018-05-14 12:15:00+00:00,2018-05-21 12:00:00+00:00,1,0,1,-0.01924579999999998
26,2018-05-21 12:15:00+00:00,2018-05-28 12:00:00+00:00,0,0,0,0.0
27,2018-05-28 12:15:00+00:00,2018-06-04 12:00:00+00:00,1,0,1,-0.018706299999999898
28,2018-06-04 12:15:00+00:00,2018-06-11 12:00:00+00:00,0,0,0,0.0
29,2018-06-11 12:15:00+00:00,2018-06-18 12:00:00+00:00,0,0,0,0.0
30,2018-06-18 12:15:00+00:00,2018-06-25 12:00:00+00:00,1,0,1,-0.019370259999999917
31,2018-06-25 12:15:00+00:00,2018-07-02 12:00:00+00:00,1,0,1,-0.01466052000000001
32,2018-07-02 12:15:00+00:00,2018-07-09 12:00:00+00:00,0,0,0,0.0
33,2018-07-09 12:15:00+00:00,2018-07-16 12:00:00+00:00,0,0,0,0.0
34,2018-07-16 12:15:00+00:00,2018-07-23 12:00:00+00:00,1,0,1,-0.017994960000000004
35,2018-07-23 12:15:00+00:00,2018-07-30 12:00:00+00:00,0,0,0,0.0
36,2018-07-30 12:15:00+00:00,2018-08-06 12:00:00+00:00,0,0,0,0.0
37,2018-08-06 12:15:00+00:00,2018-08-13 12:00:00+00:00,2,0,2,-0.03556029999999988
38,2018-08-13 12:15:00+00:00,2018-08-20 12:00:00+00:00,0,0,0,0.0
39,2018-08-20 12:15:00+00:00,2018-08-27 12:00:00+00:00,0,0,0,0.0
40,2018-08-27 12:15:00+00:00,2018-09-03 12:00:00+00:00,0,0,0,0.0
