Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2022-02-14 00:00:00+00:00,37.490002,2022-02-17 00:00:00+00:00,36.330002,1.0123599919999966
buy,2022-03-18 00:00:00+00:00,33.110001,2022-03-22 00:00:00+00:00,34.509998,1.264757002000006
buy,2022-05-18 00:00:00+00:00,30.24,2022-05-23 00:00:00+00:00,31.67,1.306180000000003
short,2022-06-10 00:00:00+00:00,30.629999,2022-06-14 00:00:00+00:00,31.41,-0.9040809979999986
buy,2022-06-22 00:00:00+00:00,32.689999,2022-06-23 00:00:00+00:00,31.969999,-0.8493199959999989
short,2022-07-05 00:00:00+00:00,30.959999,2022-07-07 00:00:00+00:00,32.240002,-1.4064030019999971
buy,2022-07-26 00:00:00+00:00,31.620001,2022-07-28 00:00:00+00:00,31.09,-0.6554210019999986
short,2022-08-18 00:00:00+00:00,31.879999,2022-08-24 00:00:00+00:00,30.6,1.155039002
buy,2022-09-12 00:00:00+00:00,30.700001,2022-09-14 00:00:00+00:00,30.110001,-0.7116200039999998
buy,2022-10-14 00:00:00+00:00,27.1,2022-10-17 00:00:00+00:00,26.799999,-0.40780099800000175
