Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-02-07 00:00:00+00:00,2022-02-14 00:00:00+00:00,0,0,0,0.0
2,2022-02-14 00:00:00+00:00,2022-02-21 00:00:00+00:00,1,1,0,1.0123599919999966
3,2022-02-21 00:00:00+00:00,2022-02-28 00:00:00+00:00,0,0,0,0.0
4,2022-02-28 00:00:00+00:00,2022-03-07 00:00:00+00:00,0,0,0,0.0
5,2022-03-07 00:00:00+00:00,2022-03-14 00:00:00+00:00,0,0,0,0.0
6,2022-03-14 00:00:00+00:00,2022-03-21 00:00:00+00:00,0,0,0,0.0
7,2022-03-21 00:00:00+00:00,2022-03-28 00:00:00+00:00,1,1,0,1.264757002000006
8,2022-03-28 00:00:00+00:00,2022-04-04 00:00:00+00:00,0,0,0,0.0
9,2022-04-04 00:00:00+00:00,2022-04-11 00:00:00+00:00,0,0,0,0.0
10,2022-04-11 00:00:00+00:00,2022-04-18 00:00:00+00:00,0,0,0,0.0
11,2022-04-18 00:00:00+00:00,2022-04-25 00:00:00+00:00,0,0,0,0.0
12,2022-04-25 00:00:00+00:00,2022-05-02 00:00:00+00:00,0,0,0,0.0
13,2022-05-02 00:00:00+00:00,2022-05-09 00:00:00+00:00,0,0,0,0.0
14,2022-05-09 00:00:00+00:00,2022-05-16 00:00:00+00:00,0,0,0,0.0
15,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,1,1,0,1.306180000000003
16,2022-05-23 00:00:00+00:00,2022-05-30 00:00:00+00:00,1,0,0,0.0
17,2022-05-30 00:00:00+00:00,2022-06-06 00:00:00+00:00,0,0,0,0.0
18,2022-06-06 00:00:00+00:00,2022-06-13 00:00:00+00:00,0,0,0,0.0
19,2022-06-13 00:00:00+00:00,2022-06-20 00:00:00+00:00,1,0,1,-0.9040809979999986
20,2022-06-20 00:00:00+00:00,2022-06-27 00:00:00+00:00,1,0,1,-0.8493199959999989
21,2022-06-27 00:00:00+00:00,2022-07-04 00:00:00+00:00,0,0,0,0.0
22,2022-07-04 00:00:00+00:00,2022-07-11 00:00:00+00:00,1,0,1,-1.4064030019999971
23,2022-07-11 00:00:00+00:00,2022-07-18 00:00:00+00:00,0,0,0,0.0
24,2022-07-18 00:00:00+00:00,2022-07-25 00:00:00+00:00,0,0,0,0.0
25,2022-07-25 00:00:00+00:00,2022-08-01 00:00:00+00:00,1,0,1,-0.6554210019999986
26,2022-08-01 00:00:00+00:00,2022-08-08 00:00:00+00:00,0,0,0,0.0
27,2022-08-08 00:00:00+00:00,2022-08-15 00:00:00+00:00,0,0,0,0.0
28,2022-08-15 00:00:00+00:00,2022-08-22 00:00:00+00:00,0,0,0,0.0
29,2022-08-22 00:00:00+00:00,2022-08-29 00:00:00+00:00,1,1,0,1.155039002
30,2022-08-29 00:00:00+00:00,2022-09-05 00:00:00+00:00,0,0,0,0.0
31,2022-09-05 00:00:00+00:00,2022-09-12 00:00:00+00:00,0,0,0,0.0
32,2022-09-12 00:00:00+00:00,2022-09-19 00:00:00+00:00,1,0,1,-0.7116200039999998
33,2022-09-19 00:00:00+00:00,2022-09-26 00:00:00+00:00,0,0,0,0.0
34,2022-09-26 00:00:00+00:00,2022-10-03 00:00:00+00:00,0,0,0,0.0
35,2022-10-03 00:00:00+00:00,2022-10-10 00:00:00+00:00,0,0,0,0.0
36,2022-10-10 00:00:00+00:00,2022-10-17 00:00:00+00:00,1,0,1,-0.40780099800000175
37,2022-10-17 00:00:00+00:00,2022-10-24 00:00:00+00:00,1,0,0,0.0
38,2022-10-24 00:00:00+00:00,2022-10-31 00:00:00+00:00,0,0,0,0.0
39,2022-10-31 00:00:00+00:00,2022-11-07 00:00:00+00:00,0,0,0,0.0
40,2022-11-07 00:00:00+00:00,2022-11-14 00:00:00+00:00,0,0,0,0.0
41,2022-11-14 00:00:00+00:00,2022-11-21 00:00:00+00:00,0,0,0,0.0
42,2022-11-21 00:00:00+00:00,2022-11-23 00:00:00+00:00,0,0,0,0.0
