Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2022-01-03 03:10:00+00:00,1.13641,2022-01-03 04:10:00+00:00,,-0.0017099999999999004
buy,2022-01-03 05:10:00+00:00,1.1345,2022-01-03 11:15:00+00:00,,0.0008699999999999044
short,2022-01-03 12:35:00+00:00,1.13556,2022-01-03 12:40:00+00:00,,0.00010999999999981044
short,2022-01-03 13:15:00+00:00,1.13576,2022-01-03 13:20:00+00:00,,-0.0008499999999998173
short,2022-01-03 13:40:00+00:00,1.13594,2022-01-03 13:45:00+00:00,,-0.0001299999999999856
buy,2022-01-03 15:00:00+00:00,1.13588,2022-01-03 15:35:00+00:00,1.13528,-0.000799999999999934
buy,2022-01-03 15:45:00+00:00,1.13526,2022-01-03 16:15:00+00:00,,-0.0015900000000000024
buy,2022-01-03 18:00:00+00:00,1.12918,2022-01-03 19:30:00+00:00,,-0.001230000000000087
short,2022-01-03 21:55:00+00:00,1.12989,2022-01-03 22:00:00+00:00,,-1.9999999999930664e-05
short,2022-01-03 23:55:00+00:00,1.12977,2022-01-04 00:00:00+00:00,,-0.00039000000000013416
buy,2022-01-04 01:05:00+00:00,1.12967,2022-01-04 02:20:00+00:00,,0.0008000000000001123
short,2022-01-04 02:50:00+00:00,1.13051,2022-01-04 02:55:00+00:00,,-0.00012999999999998516
short,2022-01-04 03:00:00+00:00,1.13058,2022-01-04 03:05:00+00:00,,-0.0003300000000001852
short,2022-01-04 03:20:00+00:00,1.13081,2022-01-04 03:25:00+00:00,,2.000000000010934e-05
short,2022-01-04 04:35:00+00:00,1.13085,2022-01-04 04:40:00+00:00,,-0.0002300000000001962
short,2022-01-04 04:55:00+00:00,1.13077,2022-01-04 05:00:00+00:00,,0.0003399999999999853
buy,2022-01-04 06:10:00+00:00,1.13003,2022-01-04 08:05:00+00:00,1.13043,0.0001999999999999563
short,2022-01-04 08:10:00+00:00,1.13012,2022-01-04 08:15:00+00:00,,-0.00010000000000001067
buy,2022-01-04 09:55:00+00:00,1.12892,2022-01-04 10:15:00+00:00,,0.0008600000000000612
buy,2022-01-04 11:05:00+00:00,1.12854,2022-01-04 11:15:00+00:00,,0.0009899999999998022
short,2022-01-04 12:15:00+00:00,1.13023,2022-01-04 12:20:00+00:00,,-7.999999999988008e-05
buy,2022-01-04 14:35:00+00:00,1.12794,2022-01-04 17:05:00+00:00,,0.0009100000000001663
short,2022-01-04 18:05:00+00:00,1.13094,2022-01-04 18:10:00+00:00,,0.0005800000000000028
buy,2022-01-04 19:55:00+00:00,1.12944,2022-01-04 20:55:00+00:00,,-0.0013499999999999845
buy,2022-01-04 21:20:00+00:00,1.12869,2022-01-05 05:55:00+00:00,1.12962,0.0007300000000000973
short,2022-01-05 06:00:00+00:00,1.12958,2022-01-05 06:05:00+00:00,,5.9999999999926865e-05
buy,2022-01-05 07:45:00+00:00,1.12893,2022-01-05 08:40:00+00:00,,0.0008099999999999553
short,2022-01-05 09:20:00+00:00,1.12961,2022-01-05 09:25:00+00:00,,-0.0002800000000000801
short,2022-01-05 09:30:00+00:00,1.12989,2022-01-05 09:35:00+00:00,,-0.0004100000000000436
short,2022-01-05 09:40:00+00:00,1.12989,2022-01-05 09:45:00+00:00,,-0.0001599999999999601
short,2022-01-05 10:05:00+00:00,1.12978,2022-01-05 10:10:00+00:00,,-0.000759999999999894
short,2022-01-05 10:15:00+00:00,1.13056,2022-01-05 10:20:00+00:00,,-8.999999999994559e-05
short,2022-01-05 10:40:00+00:00,1.13034,2022-01-05 10:45:00+00:00,,9.999999999996687e-05
short,2022-01-05 12:00:00+00:00,1.1306,2022-01-05 12:05:00+00:00,,-0.00041999999999988704
short,2022-01-05 12:50:00+00:00,1.13115,2022-01-05 12:55:00+00:00,,6.999999999999238e-05
short,2022-01-05 13:10:00+00:00,1.13125,2022-01-05 13:15:00+00:00,,-0.0004499999999998611
short,2022-01-05 14:05:00+00:00,1.13174,2022-01-05 14:10:00+00:00,,-2.9999999999996176e-05
buy,2022-01-05 15:35:00+00:00,1.131,2022-01-05 15:45:00+00:00,,0.0010199999999999988
short,2022-01-05 17:30:00+00:00,1.13368,2022-01-05 17:35:00+00:00,,9.999999999996687e-05
short,2022-01-05 19:10:00+00:00,1.13375,2022-01-05 19:15:00+00:00,,-0.0002999999999999891
short,2022-01-05 20:05:00+00:00,1.13368,2022-01-05 20:10:00+00:00,,-0.00014999999999989458
short,2022-01-05 20:30:00+00:00,1.13405,2022-01-05 20:35:00+00:00,,-0.0003500000000000946
short,2022-01-05 20:40:00+00:00,1.13432,2022-01-05 20:45:00+00:00,,-0.0002400000000000401
short,2022-01-05 20:50:00+00:00,1.13419,2022-01-05 20:55:00+00:00,,-1.9999999999930664e-05
buy,2022-01-05 22:30:00+00:00,1.13107,2022-01-06 02:15:00+00:00,1.13124,-2.9999999999996176e-05
